
FirstComeFirstServe
pid   BurstTime    WaitingTime  TurnAround   
1     585          0            585          5            
2     972          588          1560         17           
3     992          1563         2555         5            
4     633          2558         3191         13           
5     827          3194         4021         10           
6     306          4024         4330         7            
7     422          4333         4755         16           
8     615          4758         5373         18           
9     695          5376         6071         2            
10    702          6074         6776         5            
11    942          6779         7721         15           
12    969          7724         8693         7            
13    955          8696         9651         5            
14    764          9654         10418        10           
15    589          10421        11010        11           
16    103          11013        11116        5            
17    364          11119        11483        19           
18    346          11486        11832        6            
19    271          11835        12106        9            

Average Turnaround Time: 637.0

ShortestJobFirst
pid   BurstTime    WaitingTime  TurnAround   Priority     
16    103          0            103          5            
19    271          106          377          9            
6     306          380          686          7            
18    346          689          1035         6            
17    364          1038         1402         19           
7     422          1405         1827         16           
1     585          1830         2415         5            
15    589          2418         3007         11           
8     615          3010         3625         18           
4     633          3628         4261         13           
9     695          4264         4959         2            
10    702          4962         5664         5            
14    764          5667         6431         10           
5     827          6434         7261         10           
11    942          7264         8206         15           
13    955          8209         9164         5            
12    969          9167         10136        7            
2     972          10139        11111        17           
3     992          11114        12106        5            

Average Turnaround Time: 637.0

RoundRobin-TQ 25
pid   BurstTime    WaitingTime  TurnAround   Priority     
1     585          0            50           5            
2     972          28           78           17           
3     992          56           106          5            
4     633          84           134          13           
5     827          112          162          10           
6     306          140          190          7            
7     422          168          218          16           
8     615          196          246          18           
9     695          224          274          2            
10    702          252          302          5            
11    942          280          330          15           
12    969          308          358          7            
13    955          336          386          5            
14    764          364          414          10           
15    589          392          442          11           
16    103          420          470          5            
17    364          448          498          19           
18    346          476          526          6            
19    271          504          554          9            
1     560          532          582          5            
2     947          560          610          17           
3     967          588          638          5            
4     608          616          666          13           
5     802          644          694          10           
6     281          672          722          7            
7     397          700          750          16           
8     590          728          778          18           
9     670          756          806          2            
10    677          784          834          5            
11    917          812          862          15           
12    944          840          890          7            
13    930          868          918          5            
14    739          896          946          10           
15    564          924          974          11           
16    78           952          1002         5            
17    339          980          1030         19           
18    321          1008         1058         6            
19    246          1036         1086         9            
1     535          1064         1114         5            
2     922          1092         1142         17           
3     942          1120         1170         5            
